
> my-app@0.1.0 dev
> next dev --hostname 0.0.0.0 --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
- Environments: .env.local

✓ Starting...
✓ Ready in 913ms
 GET / 200 in 639ms (compile: 549ms, render: 90ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 30ms (compile: 1470µs, render: 29ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 33ms (compile: 2ms, render: 31ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 31ms (compile: 2ms, render: 29ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 23ms (compile: 1042µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 24ms (compile: 1044µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 24ms (compile: 2ms, render: 21ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 23ms (compile: 2ms, render: 21ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 31ms (compile: 1833µs, render: 29ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 31ms (compile: 1648µs, render: 29ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 23ms (compile: 1058µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 23ms (compile: 1178µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 41ms (compile: 1648µs, render: 40ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 33ms (compile: 7ms, render: 26ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 30ms (compile: 1787µs, render: 28ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 24ms (compile: 1889µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 37ms (compile: 1180µs, render: 36ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 38ms (compile: 3ms, render: 35ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 37ms (compile: 1210µs, render: 36ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 32ms (compile: 1090µs, render: 31ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 32ms (compile: 1428µs, render: 30ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 31ms (compile: 1285µs, render: 30ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 32ms (compile: 1211µs, render: 31ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 24ms (compile: 1135µs, render: 23ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 26ms (compile: 1094µs, render: 25ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 35ms (compile: 1882µs, render: 33ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 32ms (compile: 1924µs, render: 30ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 32ms (compile: 1172µs, render: 31ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 38ms (compile: 1204µs, render: 37ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 30ms (compile: 1097µs, render: 29ms)
